Country name,Country,Sector,Source,Gas,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Angola,AGO,Coal,GCP,CO2,0.12375,0.062794,0.091316,0.021984,0.07694400000000001,0.05496,0.087936,0.05496,0.10237,0.091721,0.047583,0.029281,0.0073219999999999995,0.021984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Gas,GCP,CO2,,,,,,,,,,,0.084186,0.08418099999999999,0.10983,0.12458,0.1318,0.12458,0.10992,0.13557,0.13557,0.13557,0.14665999999999998,0.17221,0.17207,0.19785999999999998,0.22,0.21984,0.24549,0.29678000000000004,0.30045,0.319,1.0105,1.0838,1.0662,1.0479,0.97096,1.0479,1.0479,1.0662,1.0845,1.0479,1.0845,0.9892799999999999,1.1578,1.2164,1.44,1.2494,1.3044,1.5938,1.2714,1.2897,1.3703,1.4033,1.4216,0.76578,0.57885,1.4401,1.4949,1.5719,1.6085,1.2739,1.3139
Angola,AGO,Gas flaring,GCP,CO2,,,,,,,,,,,1.4824,1.3872,1.5999,1.8357,1.9112,1.7807,1.0882,2.1728,2.3963,2.3963,2.4162,2.2167,2.193,2.2680000000000002,2.3173,2.3413,2.3669,2.4146,2.4219,2.4419999999999997,1.4975,1.5927,1.6854,1.6305,1.4986,1.4033,2.2277,2.8286,3.2793,4.2905,4.6826,4.1586,6.1812,0.65586,11.9263,12.5016,12.5016,14.0404,13.3113,13.2857,13.5458,13.8169,13.9635,13.4652,13.4527,13.4593,12.7617,13.8353,7.8666,7.8666,7.8666
Angola,AGO,Oil,GCP,CO2,0.34576999999999997,0.31396999999999997,1.0045,1.0332,1.0406,1.0113,1.3337,0.79875,1.4149,2.5021,1.7423,1.6434,2.4749,2.5098,2.4494,2.1801,1.9346,1.0736,2.6784,2.77,2.6582,2.7627,2.1564,2.5355,2.2917,1.9602,1.8686,2.9239,1.9053,1.7453,2.4751,2.281,2.29,2.9678,1.2971,8.4162,7.0385,3.3306,2.7627,3.708,3.6677,4.3015,5.0197,6.837000000000001,5.0343,4.7339,7.7567,8.8009,10.2189,12.2964,13.3699,14.3446,17.2684,17.4406,17.2885,16.6913,15.4035,12.835,12.9632,12.4088,11.0802
Angola,AGO,Total fossil fuels and cement,GCP,CO2,0.54895,0.45371000000000006,1.1791,1.1497,1.2229,1.1862,1.5525,0.9918100000000001,1.6695,2.7831,3.5779,3.4054,4.5005,4.8737,4.8664,4.4088,3.28,3.5275,5.3998,5.4892,5.3344,5.2668,4.6352,5.1005,4.9858,4.6761,4.6338,5.7860000000000005,5.0493,4.9227,5.0899,5.0641,5.1644,5.7484,3.8645,10.9489,10.424000000000001,7.3477,7.2684,9.1302,9.5161,9.6709,12.5981,8.988999999999999,18.7006,19.006,22.1017,24.9773,25.4863,27.565,28.8645,30.3297,33.8006,33.2286,33.2963,33.6212,31.4038,28.4204,24.3758,23.4868,22.1982
Antigua and Barbuda,ATG,Oil,GCP,CO2,0.03664,0.047632,0.10259000000000001,0.084272,0.0916,0.15022,0.34808,0.56426,0.9892799999999999,1.2568,0.46166,0.42502,0.37373,0.32976,0.42868999999999996,0.70715,0.40304,0.46533,0.49098,0.4067,0.1429,0.10626,0.29312,0.084272,0.14656,0.24915,0.24915,0.2748,0.28579,0.28579,0.21984,0.21251,0.20885,0.21618,0.21618,0.2235,0.23815999999999998,0.25648000000000004,0.27114,0.28213,0.29312,0.29678000000000004,0.32976,0.35174,0.3664,0.37373,0.38472,0.4067,0.4177,0.44333999999999996,0.45433999999999997,0.44333999999999996,0.45799999999999996,0.46166,0.46166,0.47998,0.49098,0.49098,0.4983,0.48636999999999997,0.43041
Antigua and Barbuda,ATG,Total fossil fuels and cement,GCP,CO2,0.03664,0.047632,0.10259000000000001,0.084272,0.0916,0.15022,0.34808,0.56426,0.9892799999999999,1.2568,0.46166,0.42502,0.37373,0.32976,0.42868999999999996,0.70715,0.40304,0.46533,0.49098,0.4067,0.1429,0.10626,0.29312,0.084272,0.14656,0.24915,0.24915,0.2748,0.28579,0.28579,0.21984,0.21251,0.20885,0.21618,0.21618,0.2235,0.23815999999999998,0.25648000000000004,0.27114,0.28213,0.29312,0.29678000000000004,0.32976,0.35174,0.3664,0.37373,0.38472,0.4067,0.4177,0.44333999999999996,0.45433999999999997,0.44333999999999996,0.45799999999999996,0.46166,0.46166,0.47998,0.49098,0.49098,0.4983,0.48636999999999997,0.43041
Argentina,ARG,Cement,GCP,CO2,1.3047,1.4355,1.4464,1.2538,1.4391,1.6318,1.7227,1.7556,2.0643,2.1479,2.3441,2.7358,2.6986,2.5701,2.6749,2.7142,2.8414,2.9869,3.1476,3.3269,3.5616,3.3227,2.8147,2.8175,2.6177,2.3249,2.7892,3.1692,3.0466,2.2529,1.8219999999999998,2.1959999999999997,2.495,2.761,3.05,2.6210000000000004,2.4219999999999997,3.1689999999999996,3.283,3.29,2.7710000000000004,2.481,1.729,2.28,2.701,3.241,3.764,3.998,3.99,3.81,4.178,4.586,4.184,4.581,4.336,4.571000000000001,4.029,4.4214,4.3776,4.0967,3.6491
Argentina,ARG,Coal,GCP,CO2,3.9058,3.5394,2.0079,2.3047,2.5573,2.6014,2.5868,2.9389,2.3669,2.5904,3.2866,2.9275,2.8579,2.8799,3.3672,3.5944,3.2391,2.7039,3.8325,3.6017,2.8652,2.9568,2.6602,2.1911,2.1472,2.7735,3.3929,3.7776,4.0232,4.144,3.0704,2.6894,2.803,2.3011,3.5613,3.7007,3.0997,2.7773,2.8396,2.1545,1.6562,1.2897,1.0992,1.9896,2.1983,3.2683,3.8655,3.6603,3.8765,3.2316,3.9901,4.723,5.0087,4.8401,5.5364,5.4667,4.1917,4.2795,4.3565,2.5816,2.8156
Argentina,ARG,Gas,GCP,CO2,2.3633,4.0304,5.1076,5.8294,6.4665,7.2474,7.8483,8.2083,9.1417,9.105,10.2812,11.0213,12.4686,14.187000000000001,14.9235,15.7222,16.4666,16.9051,16.4257,18.0159,19.5658,20.4854,23.2489,26.2636,27.3014,28.809,30.9645,36.6986,42.2325,44.6092,43.2132,47.2839,48.3025,40.8085,42.677,53.1955,57.5416,61.5039,61.6138,67.6208,69.4383,64.8088,62.6196,69.0701,82.9107,81.9673,83.869,87.1776,90.1197,87.9946,86.9284,92.5874,95.3812,91.3381,92.8439,93.5346,96.3028,96.4419,96.125,91.89200000000001,86.7021
